1 100
5000
100 10
200 0 1
200 1 1
200 0 1
200 0 1
200 0 1
200 0 1
200 1 1
200 0 1
200 0 1
200 1 1
200 0 1
200 0 1
200 1 1
200 1 1
200 1 2
200 1 1
200 0 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 16 10
200 1 1
200 1 2
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
300 13 13 12
200 1 1
200 1 1
200 1 1
300 14 13 4
200 1 0
200 1 1
200 1 1
200 1 2
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 16 12 6
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 0
200 1 2
200 1 1
300 15 12 7
200 1 1
200 1 1
200 1 0
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 17 13 14
200 1 1
200 1 1
200 1 1
200 1 1
300 14 15 9
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 2
200 1 0
200 1 1
200 1 1
200 1 1
300 16 5 10
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
300 13 0 0
300 16 6 6
200 1 1
200 1 1
200 1 2
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
300 16 10 13
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 2
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
300 19 13 22
200 1 2
200 1 1
300 20 13 1
200 1 1
300 13 16 17
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 10 0 1
300 14 16 7
200 0 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
300 20 12 3
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
300 20 6 2
200 1 2
200 1 1
200 1 2
200 1 1
300 18 7 1
200 1 1
200 1 2
200 1 1
300 20 12 12
200 1 0
300 16 16 9
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
300 17 16 8
200 1 1
200 1 1
200 1 1
200 1 1
300 19 16 2
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
300 19 19 2
200 1 1
200 1 1
300 17 16 7
200 1 0
200 1 1
200 1 0
200 1 1
200 1 0
200 1 0
200 1 1
300 15 17 2
200 1 1
300 10 0 1
200 0 1
300 10 0 1
200 0 1
300 11 16 12
200 1 1
200 1 1
200 1 2
200 1 2
200 1 1
200 1 1
300 10 1 2
200 0 1
200 0 0
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
300 18 0 3
200 0 1
200 0 1
200 0 1
300 11 0 10
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
200 0 1
300 18 0 3
200 0 1
200 0 1
200 0 1
300 1 16 0
300 12 15 2
200 1 1
200 1 2
300 14 0 7
200 0 1
200 0 1
200 0 0
200 0 1
200 0 2
200 0 1
200 0 2
200 0 1
200 0 1
300 11 15 1
200 1 1
300 18 0 1
200 0 1
300 18 1 2
200 0 1
200 0 1
300 13 15 3
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 0
200 1 1
200 1 0
300 13 15 15
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 0
200 1 2
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 9 10
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
300 13 5 5
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
300 13 1 3
200 1 1
300 18 0 1
200 0 0
200 0 1
200 0 1
300 20 0 1
200 0 1
300 18 1 4
200 0 2
200 0 1
300 1 5 0
300 13 9 9
200 1 0
200 1 1
200 1 1
200 1 1
200 1 0
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 1
200 1 2
200 1 1
200 1 1
200 1 1
300 17 11 9
200 1 1
